,date_id,iid,match,wave,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,field_cd,age,race,income,zipcode,samerace,goal,from,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,imprace,imprelig,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,zipcode_area,latitude,longitude
13,1-1-10-3,2,1,1,30.0,5.0,15.0,40.0,5.0,5.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
14,1-3-10-3,2,0,1,30.0,10.0,20.0,10.0,10.0,20.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,0,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
15,1-2-10-3,2,0,1,50.0,0.0,30.0,10.0,0.0,10.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
16,1-7-10-3,2,0,1,35.0,15.0,25.0,10.0,5.0,10.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
17,1-8-10-3,2,0,1,33.33,11.11,11.11,11.11,11.11,22.22,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
18,1-4-10-3,2,1,1,50.0,0.0,25.0,10.0,0.0,15.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
19,1-5-10-3,2,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
20,1-6-10-9,3,0,1,35.0,20.0,20.0,20.0,0.0,5.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
21,1-5-10-9,3,0,1,60.0,0.0,0.0,40.0,0.0,0.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
22,1-2-10-9,3,0,1,19.0,18.0,19.0,18.0,14.0,12.0,2.0,25.0,2.0,Not provided,6268,0,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
23,1-7-10-9,3,0,1,30.0,5.0,15.0,40.0,5.0,5.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
24,1-9-10-9,3,0,1,30.0,10.0,20.0,10.0,10.0,20.0,2.0,25.0,2.0,Not provided,6268,0,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
25,1-8-10-9,3,0,1,50.0,0.0,30.0,10.0,0.0,10.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
26,1-3-10-9,3,0,1,35.0,15.0,25.0,10.0,5.0,10.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
27,1-4-10-9,3,0,1,33.33,11.11,11.11,11.11,11.11,22.22,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
28,1-10-10-9,3,0,1,50.0,0.0,25.0,10.0,0.0,15.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
29,1-1-10-9,3,0,1,100.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,Not provided,6268,1,6.0,Connecticut,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,35.0,10.0,35.0,10.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,8.0,626,42.3529025,25.8359511
30,1-3-10-6,4,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
31,1-2-10-6,4,0,1,60.0,0.0,0.0,40.0,0.0,0.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
32,1-9-10-6,4,0,1,19.0,18.0,19.0,18.0,14.0,12.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,0,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
33,1-4-10-6,4,1,1,30.0,5.0,15.0,40.0,5.0,5.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
34,1-6-10-6,4,0,1,30.0,10.0,20.0,10.0,10.0,20.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,0,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
35,1-5-10-6,4,0,1,50.0,0.0,30.0,10.0,0.0,10.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
36,1-10-10-6,4,0,1,35.0,15.0,25.0,10.0,5.0,10.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
37,1-1-10-6,4,0,1,33.33,11.11,11.11,11.11,11.11,22.22,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
38,1-7-10-6,4,1,1,50.0,0.0,25.0,10.0,0.0,15.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
39,1-8-10-6,4,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,29998.0 and 39998.0,77096,1,1.0,Texas,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,20.0,20.0,20.0,20.0,10.0,1.0,1.0,7.0,8.0,7.0,9.0,8.0,770,29.67873190668016,-95.47285615789474
40,1-1-10-4,5,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
41,1-10-10-4,5,0,1,60.0,0.0,0.0,40.0,0.0,0.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
42,1-7-10-4,5,0,1,19.0,18.0,19.0,18.0,14.0,12.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,0,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
43,1-2-10-4,5,1,1,30.0,5.0,15.0,40.0,5.0,5.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
44,1-4-10-4,5,0,1,30.0,10.0,20.0,10.0,10.0,20.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,0,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
45,1-3-10-4,5,0,1,50.0,0.0,30.0,10.0,0.0,10.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
46,1-8-10-4,5,0,1,35.0,15.0,25.0,10.0,5.0,10.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
47,1-9-10-4,5,0,1,33.33,11.11,11.11,11.11,11.11,22.22,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
48,1-5-10-4,5,1,1,50.0,0.0,25.0,10.0,0.0,15.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
49,1-6-10-4,5,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,79998.0 and 89998.0,94022,1,2.0,Bowdoin College,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,20.0,5.0,25.0,25.0,10.0,8.0,1.0,6.0,3.0,10.0,6.0,8.0,940,37.38312462412451,-122.11471268910506
50,1-5-10-8,6,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
51,1-4-10-8,6,0,1,60.0,0.0,0.0,40.0,0.0,0.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
52,1-1-10-8,6,0,1,19.0,18.0,19.0,18.0,14.0,12.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,1,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
53,1-6-10-8,6,1,1,30.0,5.0,15.0,40.0,5.0,5.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
54,1-8-10-8,6,0,1,30.0,10.0,20.0,10.0,10.0,20.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
55,1-7-10-8,6,0,1,50.0,0.0,30.0,10.0,0.0,10.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
56,1-2-10-8,6,0,1,35.0,15.0,25.0,10.0,5.0,10.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
57,1-3-10-8,6,0,1,33.33,11.11,11.11,11.11,11.11,22.22,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
58,1-9-10-8,6,1,1,50.0,0.0,25.0,10.0,0.0,15.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
59,1-10-10-8,6,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,59998.0 and 69998.0,20878,0,1.0,MD,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,1.0,1.0,5.0,7.0,9.0,8.0,5.0,208,39.118336395995286,-77.23574237714958
60,1-2-10-5,7,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,22.0,4.0,49998.0 and 59998.0,91360,0,1.0,Southern California,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,15.0,15.0,25.0,20.0,15.0,2.0,4.0,6.0,6.0,7.0,5.0,7.0,913,48.666939164999995,2.3253978483333335
